interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
63-45-20-19	f1346a488a29496f9f16bada13a0c3df	100	ms_int7	1	0	0	0	0	00.00:03:11	0
90-91-97-73	f1fe426687c845999076f114b25e0b66	100	ms_int3	1	0	0	0	0	00.00:01:57	0
33-00-37-84	f31fa25610064219ab27990bcff60ac4	100	ms_int20	1	0	0	0	0	00.00:02:05	0
22-14-14-06	f513b6776f7b4440b3e95e7de37cff61	100	ms_int20	1	0	0	0	0	00.00:06:48	0
06-49-12-83	f81c2a75cd9e4d34b3b866ac7a974b1d	100	ms_int3	1	0	0	0	0	00.00:01:49	0
95-46-71-69	f95c8b9fc2de4d759648454b6ff19dc8	100	ms_int5	1	0	0	0	0	00.00:16:00	0
38-98-17-72	fbdde0b271d54c6aafcc3c9c7ab2ae88	100	ms_int20	1	0	0	0	0	00.00:02:31	0
90-57-18-82	fdc98125e8ff4bfdbcee5db46d24021e	100	ms_int5	1	0	0	0	0	00.00:03:46	0
76-62-22-39	fe141b77789a4b8aa15df71cdfbdf959	100	ms_int20	1	0	0	0	0	00.00:02:35	0
57-67-88-46	ff05b3f45b5d4bd7a45b099740a781bd	100	ms_int7	1	0	0	0	0	00.00:01:21	0
76-27-86-47	ff4a1f8ecc1c4876a537063992a8c2b7	100	ms_int2	1	0	0	0	0	00.00:02:22	0
31-87-32-85	04f78329f15c402d9b32bd9a10aa4858	100	ms_int10	1	0	0	0	0	00.00:04:22	0
74-59-01-20	06e15504819b450483cf7799820a5183	100	ms_int7	1	0	0	0	0	00.00:01:43	0
84-17-28-75	0d57a1792d1b402da4e15e7140819674	100	ms_int11	1	0	0	0	0	00.00:02:48	0
06-20-32-40	0d63eb4ca2114338a74007a4be895492	100	ms_int7	1	0	0	0	0	00.00:01:51	0
18-88-60-60	0db147e9aef641dfb8a40f2541027433	100	ms_int22	1	0	0	0	0	00.00:03:50	0
95-36-83-54	18a05dd051724e9a9390a006625c9313	100	ms_int2	1	0	0	0	0	00.00:01:00	0
06-14-01-46	19f8b99068474bc1baabf018b1ac2180	100	ms_int22	1	0	0	0	0	00.00:03:07	0
67-04-87-57	1d5297c5f650469aa1ab5965f63bcdf6	100	ms_int2	1	0	0	0	0	00.00:07:38	0
59-20-83-32	1fc20fe91640491f8a20faebeaaffcc9	100	ms_int10	1	0	0	0	0	00.00:01:39	0
78-96-73-44	224c2a449d2945d0b508661c45c86dcc	100	ms_int10	1	0	0	0	0	00.00:03:05	0
83-74-35-41	22ad708b31404c7cb9b70a3aaf2be6cd	100	ms_int2	1	0	0	0	0	00.00:00:57	0
06-73-57-50	22c17146a2a64c98a0f01d46ab7d9a41	100	ms_int11	1	0	0	0	0	00.00:01:23	0
02-65-92-14	259360c8fce64b02bd046209bab90b6e	100	ms_int22	1	0	0	0	0	00.00:04:56	0
32-41-49-07	298e41b8a1294b3c80c6a389b3c16290	100	ms_int11	1	0	0	0	0	00.00:01:45	0
26-56-74-97	2a3513a1e6bd4c2d84b133876cdc602d	100	ms_int20	1	0	0	0	0	00.00:01:50	0
51-04-86-60	2aa106fbeebc4ef5bef5eb064ea0540b	100	ms_int10	1	0	0	0	0	00.00:05:44	0
19-74-37-14	3b99f08d3e104da7b526ba83792c5a91	100	ms_int21	1	0	0	0	0	00.00:02:29	4
38-45-24-73	424434dbc4004202ac0f1b826e299b0a	100	ms_int21	1	0	0	0	0	00.00:08:48	1
93-57-25-79	4358b6d523244d58a47b0b5ab8bd4bd0	100	ms_int2	1	0	0	0	0	00.00:00:58	0
21-04-67-30	439cb5bbe22e46a69042b086961568a9	100	ms_int10	1	0	0	0	0	00.00:01:42	0
40-60-99-83	4476ffa5233344e0bdd62407dc0ab659	100	ms_int2	1	0	0	0	0	00.00:04:37	0
42-95-63-04	47dce40a5ecd477d9f018ab7e348e4cd	100	ms_int11	1	0	0	0	0	00.00:01:46	0
23-11-10-94	49df4cd09ac144ed87f7e342adf7778b	100	ms_int10	1	0	0	0	0	00.00:01:45	0
70-59-71-64	4db52c89bb7e42c49bda525dda3fbe51	100	ms_int21	1	0	0	0	0	00.00:02:36	1
14-65-13-84	4ea69ff6d78c4d30b61d033e5b07f030	100	ms_int21	1	0	0	0	0	00.00:04:59	1
59-73-56-89	509e93793542416ba804d22ab5878928	100	ms_int10	1	0	0	0	0	00.00:01:41	0
76-78-56-46	51f062b73dcf4279bd6fbc68bf924b29	100	ms_int2	1	0	0	0	0	00.00:01:43	0
40-74-99-84	5241fe06209241c7a2fdc2a3d156fe92	100	ms_int11	1	0	0	0	0	00.00:01:07	0
63-84-15-89	527301f39a8b49f4b88b9537b349ccf3	100	ms_int21	1	0	0	0	0	00.00:05:45	1
99-39-21-57	5279b3c548fb4a208202409513fceb5d	100	ms_int22	1	0	0	0	0	00.00:26:22	0
51-69-65-70	5349fc17dba5453ba5fe55c329f645ca	100	ms_int10	1	0	0	0	0	00.00:01:41	0
